t,FL_hip_joint,FL_knee_joint,FL_ankle_joint,FR_hip_joint,FR_knee_joint,FR_ankle_joint,RL_hip_joint,RL_knee_joint,RL_ankle_joint,RR_hip_joint,RR_knee_joint,RR_ankle_joint
2.7053,-1.7188,1.3383,1.4765,-0.1293,0.0885,-0.0093,0.1212,0.0726,-0.0071,1.7448,-1.3924,0.0983
2.7154,-0.5675,-1.1198,1.0609,-0.2143,0.1491,-0.0054,-0.0037,0.0832,0.0037,1.2113,-1.2873,-0.6474
2.7602,-1.7686,1.3692,1.5287,-0.1333,0.0911,-0.0092,0.1214,0.0752,-0.0068,1.8032,-1.4586,0.0681
2.7705,-0.6414,0.4664,0.2320,-0.1168,0.0599,-0.0197,0.1536,0.0594,-0.0128,0.3232,2.3340,2.9481
2.7804,0.2981,-1.3469,0.1134,-0.1329,0.0913,-0.0097,0.1215,0.0762,-0.0074,-0.3100,1.6062,1.6791
2.7950,-1.0852,2.8608,2.5528,-0.1926,0.1147,-0.0234,0.5139,0.0153,-0.0486,0.0523,0.9011,2.9386
2.8070,0.2769,-1.3371,0.0969,-0.1336,0.0930,-0.0109,0.1178,0.0765,-0.0084,-0.2730,1.5032,1.6018
2.8170,-0.7529,-1.9089,0.6483,-0.1551,0.1222,-0.0065,0.0177,0.1444,0.0039,1.2582,-0.9372,-0.5077
2.8309,0.3108,-1.4362,0.0900,-0.1381,0.0907,-0.0114,0.1154,0.0739,-0.0087,-0.2848,1.5230,1.6134
2.8401,-0.7327,1.9466,1.1588,-0.1377,0.0642,-0.0182,0.2095,-0.0092,-0.0223,0.3710,0.7084,1.9184
2.8565,-1.8223,1.3475,1.6398,-0.1377,0.0863,-0.0125,0.1178,0.0705,-0.0099,1.8887,-1.6090,-0.1068
2.8668,0.0738,-0.0117,-0.0089,-0.1577,0.0560,-0.0242,0.1019,0.0057,-0.0143,-0.1791,2.6414,2.9508
2.9499,0.3262,-1.5140,0.0641,-0.1451,0.0855,-0.0134,0.1083,0.0664,-0.0101,-0.2596,1.4470,1.5415
2.9615,-0.0781,-0.0485,0.0041,-0.2588,0.0768,-0.0326,-0.0851,-0.0322,-0.0025,0.6171,2.1734,2.4272
2.9728,0.3390,-1.5608,0.0494,-0.1502,0.0814,-0.0143,0.1039,0.0610,-0.0106,-0.2476,1.4093,1.5025
2.9838,0.5036,0.3465,0.8423,-0.0518,0.0552,-0.0006,-0.2804,-0.9537,-0.1091,-0.0563,0.0722,0.0012
2.9937,0.4325,0.2294,0.8285,-0.2054,0.0620,-0.0180,-0.0531,-0.1067,-0.0038,0.0493,-0.0332,-0.0021
3.0070,0.2009,0.1573,0.5807,-0.0706,0.0363,-0.0058,0.1168,-0.0459,0.5940,-0.0866,0.0369,-0.0042
3.0195,0.0129,0.0410,0.0013,-0.0151,0.0137,-0.0009,0.3620,0.5825,1.0874,-0.1839,0.0682,-0.0079
3.0306,0.1120,0.0193,-0.0243,-0.1645,-0.0053,-0.0179,0.3634,3.0720,2.8345,-0.0573,-0.0409,-0.0128
3.0414,0.0551,0.0433,-0.0033,0.0105,0.0041,0.0016,0.0749,0.6920,0.9969,-0.0800,0.0374,-0.0035
3.0527,0.1234,0.0380,-0.0226,-0.1422,-0.0063,-0.0151,0.3513,2.9864,2.8824,-0.0841,-0.0174,-0.0127
3.1745,0.1421,0.1151,-0.0176,0.3876,-2.9701,0.1836,-0.1469,2.9414,2.8732,-0.1936,0.2220,-0.0057
3.1912,0.1436,0.0351,-0.0176,-0.7062,-0.7975,0.0554,-0.6645,2.3084,1.3121,0.9691,0.0323,1.0062
3.2070,0.0802,0.0482,-0.0037,-0.0496,-0.0258,0.7370,0.1007,0.0351,-0.0045,-0.2928,-0.4006,0.2317
3.2186,-0.0317,-0.0198,0.0018,-0.0919,0.0206,-0.0092,-0.0152,0.0002,-0.0008,0.1975,0.7374,0.9724
